incident_number,date_reported,date_occurred,badge_id,offense_classification,offense_code_name,nibrs_code,nibrs_group_name,was_offense_completed,lmpd_division,lmpd_beat,location_category,block_address,city,zip_code,ObjectId
LMPD24127405,10/31/2024 3:01:00 PM,10/31/2024 3:01:00 PM,5466,24 VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE 512.030 01402 290,290,A,YES,1ST DIVISION,111,RESIDENCE/HOME,500 BLOCK N 33RD ST,LOUISVILLE,40212,11918
LMPD24126995,10/30/2024 4:56:00 PM,10/21/2024 4:00:00 AM,8499,23 THEFT OTHER,"THEFT BY DECEPTION INCLUDING COLD CHECKS $10,000 OR MORE 514.040(8)(c) 71289 23H",23H,A,YES,4TH DIVISION,423,COMMERCIAL/OFFICE BUILDING,3700 BLOCK MANSLICK RD,LOUISVILLE,40215,11919
LMPD24127645,10/31/2024 7:24:00 PM,10/31/2024 7:24:00 PM,2877,55 TRESPASSING,CRIMINAL TRESPASS-1ST DEGREE 511.060 02616 90J,90J,B,NO,2ND DIVISION,236,OTHER RESIDENCE (APARTMENT/CONDO),3400 BLOCK CATHE DYKSTRA WAY,LOUISVILLE,40216,11920
LMPD24127392,10/31/2024 3:01:00 PM,10/30/2024 10:15:00 PM,8585,21 THEFT FR VEH,TBUT OR DISP CONTENTS FROM VEH 514.030 24140 23F,23F,A,YES,4TH DIVISION,411,PARKING/ DROP LOT/ GARAGE,800 BLOCK S 4TH ST,LOUISVILLE,40203,11921
LMPD24126989,10/30/2024 4:41:00 PM,10/29/2024 7:40:00 PM,5144,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (CHILD ABUSE) 508.030 00799 13B,13B,A,YES,8TH DIVISION,812,RESIDENCE/HOME,3300 BLOCK MORNINGVIEW DR,BARBOURMEADE,40242,11922
LMPD24127497,10/31/2024 7:16:00 PM,10/9/2024 7:26:00 PM,8454,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,YES,7TH DIVISION,736,DEPARTMENT/DISCOUNT STORE,8200 BLOCK PRESTON HWY,LOUISVILLE,40219,11923
LMPD24127604,10/31/2024 2:51:00 PM,10/31/2024 2:51:00 PM,8584,19 THEFT FR BLDG,"TBUT OR DISP FROM BUILDING $500 < $1,000 514.030 24161 23D",23D,A,YES,1ST DIVISION,123,OTHER RESIDENCE (APARTMENT/CONDO),400 BLOCK S 10TH ST,LOUISVILLE,40203,11924
LMPD24127500,10/31/2024 7:16:00 PM,10/19/2024 4:29:00 PM,8454,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,YES,7TH DIVISION,736,DEPARTMENT/DISCOUNT STORE,8200 BLOCK PRESTON HWY,LOUISVILLE,40219,11925
LMPD24127569,10/31/2024 2:50:00 PM,10/31/2024 2:50:00 PM,8584,21 THEFT FR VEH,TBUT OR DISP CONTENTS FROM VEH 514.030 24140 23F,23F,A,YES,7TH DIVISION,736,PARKING/ DROP LOT/ GARAGE,6100 BLOCK AIRPORT HOTELS BLVD,LOUISVILLE,40213,11926
LMPD24127498,10/31/2024 7:16:00 PM,10/9/2024 9:30:00 PM,8454,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,YES,3RD DIVISION,1,DEPARTMENT/DISCOUNT STORE,6800 BLOCK DIXIE HWY,LOUISVILLE,40258,11927
LMPD24126988,10/30/2024 4:06:00 PM,10/29/2024 6:00:00 AM,5258,24 VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE 512.030 01402 290,290,A,YES,4TH DIVISION,411,RESIDENCE/HOME,100 BLOCK W ST CATHERINE ST,LOUISVILLE,40203,11928
